"Id","Medicamento","Tweets Encontrados"
"1","AAS","15"
"2","ADAPTA","3"
"3","AEROLIN","9"
"4","ALLEXOFEDRIN","1"
"5","AMATO","2"
"6","ANDES","3"
"7","ANDROCUR","3"
"8","ANNITA","2"
"9","ANSIODORON","1"
"10","ANSITEC","3"
"11","ASPIRINA","43"
"12","ATACAND","1"
"13","ATROVERAN COMPOSTO","3"
"14","AVAL","9"
"15","B -PLATIN","214"
"16","BENEGRIP","8"
"17","BENZETACIL","285"
"18","BEROTEC","4"
"19","BICARBONATO DE SÓDIO - FARMACE","2"
"20","BIO - VAGIN","30"
"21","BIO E","24"
"22","BRINTELLIX","2"
"23","BUP","11"
"24","BUSONID","6"
"25","CALMAN","4"
"26","CARBOLITIUM","4"
"27","CECI","4"
"28","CEFALIUM","2"
"29","CEFALIV","10"
"30","CEL","94"
"31","CELERG","2"
"32","CELERGIN","2"
"33","CELESTAMINE","6"
"34","CHERRY","16"
"35","CIMEGRIPE DIA","2"
"36","CIMELIDE","2"
"37","CLO","4"
"38","CLORETO DE SODIO","2"
"39","CLORETO DE SÓDIO - BAXTER","2"
"40","COBAVITAL","14"
"41","CODEIN","4"
"42","COMIRNATY","2"
"43","COMPLEXO B","2"
"44","CORISTINA D","2"
"45","CYMBI","1"
"46","CÂNFORA","1"
"47","DAFORIN","2"
"48","DALÍ","4"
"49","DECA-DURABOLIN","1"
"50","DECADRON","7"
"51","DELTA - IFAL","6"
"52","DEOCIL","1"
"53","DEP","1"
"54","DEX","3"
"55","DEXILANT","1"
"56","DEYSE","1"
"57","DIANE 35","1"
"58","DICLOFENACO","5"
"59","DIMINUT","1"
"60","DIPIRONA  MONOIDRATADA","2"
"61","DIPIRONA MONOHIDRATADA","2"
"62","DIPROSPAN","2"
"63","DON","8"
"64","DONAREN","3"
"65","DORALGINA","4"
"66","DORFLEX","199"
"67","DORIL","9"
"68","DORIL ENXAQUECA","2"
"69","DOXICICLINA","1"
"70","DRY","1"
"71","DUPLA","18"
"72","DURATESTON","3"
"73","ELÔ","5"
"74","EMLA","1"
"75","ENGOV","35"
"76","ENXAK","2"
"77","EPOCLER","10"
"78","ESPINHEIRA SANTA","2"
"79","ESTOMAZIL","2"
"80","EXPEC","8"
"81","FELDENE","1"
"82","FEMME","1"
"83","FENERGAN","5"
"84","FERRO","39"
"85","FIL","3"
"86","FLANAX","5"
"87","FLANCOX","1"
"88","FLORATIL","3"
"89","FLUIR","3"
"90","FORTEVIRON","1"
"91","FRONTAL","21"
"92","GARDENAL","2"
"93","GASTROGEL","1"
"94","GASTROL","2"
"95","GASTROLIV","1"
"96","GLIFAGE","1"
"97","HALDOL","1"
"98","HEIMER","1"
"99","HISTADIN","1"
"100","HIXIZINE","4"
"101","HOLMES","1"
"102","HORA H","2"
"103","HORMUS","1"
"104","IDA","12"
"105","IMOSEC","2"
"106","INFRALAX","4"
"107","INGRID","8"
"108","IUMI","2"
"109","JAQUE","3"
"110","KELLY","2"
"111","KOIDE","1"
"112","LABEL","7"
"113","LACTO PURGA","5"
"114","LAVITAN","4"
"115","LEILA","3"
"116","LEVOZINE","1"
"117","LEXAPRO","2"
"118","LEXOTAN","3"
"119","LISADOR","5"
"120","LORATAMED D","1"
"121","LUFTAFEM","1"
"122","LUNE","1"
"123","MAXALT","1"
"124","MECLIN","2"
"125","MELHORAL","1"
"126","MENELAT","1"
"127","METICORTEN","1"
"128","METOTREXATO","2"
"129","MIND","3"
"130","MINIMA","21"
"131","MIORRELAX","2"
"132","MIOSAN","12"
"133","MIRENA","1"
"134","MIWA","2"
"135","MULTIGRIP","2"
"136","MUSCULARE","4"
"137","MYLLA","1"
"138","NALDECON DIA","1"
"139","NALDECON NOITE","1"
"140","NAPROXENO","8"
"141","NARAMIG","3"
"142","NARATANO","1"
"143","NEO - AMITRIPTILIN","14"
"144","NEOPIRIDIN","1"
"145","NEOSORO","3"
"146","NEUTROFER","1"
"147","NEVRALGEX","1"
"148","NEXT","6"
"149","NICE","10"
"150","NIKI","4"
"151","ORGANONEURO CEREBRAL","1"
"152","OTO - XILODASE","4"
"153","PACO","8"
"154","PARLODEL","1"
"155","PARÁ","2300"
"156","PERT","2"
"157","PISA","23"
"158","PLASIL","9"
"159","POLARAMINE","19"
"160","PRAKALMAR","1"
"161","PRIMERA 20","1"
"162","PRIMOSISTON","3"
"163","PROFENID","7"
"164","PROPRANOLOL","1"
"165","PROZAC","2"
"166","PRYSMA","1"
"167","PYRIDIUM","1"
"168","PÉROLA","4"
"169","QUET","3"
"170","RAPILAX","1"
"171","RAZAPINA","1"
"172","RECONTER","1"
"173","REPARIL","1"
"174","REVOC","1"
"175","RISS","1"
"176","RITALINA","53"
"177","RIVOTRIL","208"
"178","ROACUTAN","51"
"179","RUBIA","1"
"180","SALONPAS","2"
"181","SAXENDA","1"
"182","SEAKALM","7"
"183","SEDAMED","1"
"184","SELENE","3"
"185","SIBLIMA","1"
"186","SISSY","1"
"187","SONRIDOR","1"
"188","SONRISAL","3"
"189","SORINAN","1"
"190","TADA","1"
"191","TAM","2"
"192","TANDRILAX","6"
"193","TETRALYSAL","1"
"194","TILATIL","1"
"195","TORAGESIC","9"
"196","TORSILAX","20"
"197","TROPINAL","1"
"198","TRULICITY","1"
"199","TYLENOL","24"
"200","TYLEX","1"
"201","TÂMISA","1"
"202","TÊMPORA","1"
"203","UROVIT","1"
"204","VALERIANE","1"
"205","VALIUM","2"
"206","VELIJA","1"
"207","VENLAFAXINA","8"
"208","VERSA","1"
"209","VERTIGIUM","1"
"210","VERTIX","1"
"211","VI -  FERRIN","789"
"212","VICK PYRENA","1"
"213","VIE","2"
"214","VITA E","2"
"215","VITAMINA E","180"
"216","VIVENCIA","2"
"217","VOLTAREN","6"
"218","WELLBUTRIN","1"
"219","XAROPE VICK","1"
"220","YAZ","1"
"221","ZAP","125"
"222","ZINA","1"
"223","ZOLPAZ","1"
"224","ÁCIDO  MEFENÂMICO","8"
"225","ÁRIA","2"
"226","ÓPERA","2"
